"Timepoint","Group","Fish","Flowspeed","Avg_YPosition [px]","Distance [px]","Activity [%]","Flow-Adjusted Activity [%]","Efficiency","Swimming Against Flow [%]","Flow-Adjusted Swimming Against Flow [%]","Burst Duration [frames]","Burst Frequency [bursts/min]","Burst Amplitude [pixels]","Time in Y-Quadrant 1 [%]","Time in Y-Quadrant 2 [%]","Time in Y-Quadrant 3 [%]","Time in Y-Quadrant 4 [%]"
"6","DoubleMutants","6_A_2","10 cps",1514.79034783333,120691.430494444,82.45,61.7833333333333,15.7972456805559,33.8166666666667,56.6,8.34979423868313,48.6,235.472908627792,4.56666666666667,12.8833333333333,33.7333333333333,48.8166666666667
"6","DoubleMutants","6_A_2","20 cps",1390.1471628062,123033.211270268,87.5854024329279,63.5727378770205,15.3151391043322,34.0443259456757,63.2227962006332,7.45620437956204,54.7908681886352,197.158945527453,3.99933344442593,12.1146475587402,35.0774870854857,48.8085319113481
"6","DoubleMutants","6_A_3","0 cps",1196.79776733333,119482.367801622,79.1534744209298,79.1534744209298,11.9529590963473,35.2607898683553,NA,28.986301369863,14.5975670721546,744.046520069277,16.9333333333333,16.95,28.6666666666667,37.45
"6","DoubleMutants","6_A_3","10 cps",1380.79403933333,111099.432652343,72.8333333333333,68.3333333333333,20.0402993219854,29.6333333333333,61.5833333333333,8.00900900900901,44.4,223.542777729759,6.31666666666667,6.43333333333333,22.2333333333333,65.0166666666667
"6","DoubleMutants","6_A_3","20 cps",1372.68741709715,127783.002647301,88.8018663556074,60.0733211131478,12.2745093622224,35.2441259790035,59.7733711048159,7.89179104477612,53.5910681553074,214.81814646798,7.78203632727879,20.7465422429595,32.1613064489252,39.3101149808365
"6","DoubleMutants","6_A_4","0 cps",1195.0597705,112946.523633314,71.9380103316114,71.9380103316114,14.8367679063748,31.8113647725379,NA,22.4588235294118,16.9971671388102,611.593014145427,11.75,18.1,21.3,48.85
"6","DoubleMutants","6_A_4","10 cps",1492.13467383333,107951.619493842,80.9166666666667,61.45,19.3166424456129,33.35,55.9333333333333,8.97309417040359,44.6,226.806839504336,5.23333333333333,9.18333333333333,26.3,59.2833333333333
"6","DoubleMutants","6_A_4","20 cps",1252.38718546909,122575.73379468,89.6183969338444,62.0063322779537,13.2835036535951,35.7440426595567,61.5564072654558,7.66071428571429,55.990668221963,198.537589276166,7.36543909348442,13.6143976003999,42.2262956173971,36.7938676887185
"6","DoubleMutants","6_A_5","0 cps",1294.512015,178848.194106334,74.1043159473421,74.1043159473421,3.18236268352353,35.0941509748375,NA,17.6974789915966,23.7960339943343,720.434546062617,50.95,15.3333333333333,11.5833333333333,22.1333333333333
"6","DoubleMutants","6_A_5","10 cps",1444.04391733333,162317.359691209,82.4666666666667,61.3,13.9466531651363,34.3666666666667,54.4,8.21115537848606,50.2,299.367465185582,5.16666666666667,4.71666666666667,23.85,66.2666666666667
