 ,Label,Area,X,Y
324,65.0,4801,332.686,1863.859
325,66.0,5267,452.292,242.831
326,66.0,4094,377.366,1336.537
327,66.0,4104,351.392,1502.246
328,66.0,3503,334.960,1660.654
329,66.0,4654,341.362,1861.849
330,67.0,5217,443.628,275.325
331,67.0,4342,385.588,1343.501
332,67.0,4059,357.335,1516.958
333,67.0,3495,336.598,1658.569
334,67.0,4832,340.769,1863.651
335,68.0,5134,429.192,322.803
336,68.0,4354,396.445,1355.677
337,68.0,7565,352.967,1590.428
338,68.0,4892,347.019,1861.768
339,69.0,4990,416.653,357.039
340,69.0,4286,405.997,1365.922
341,69.0,7467,356.745,1596.266
342,69.0,4908,352.029,1861.083
343,70.0,5004,403.254,398.501
344,70.0,4044,418.111,1374.904
345,70.0,7394,362.870,1604.133
346,70.0,4933,356.229,1860.500
347,71.0,5074,394.024,425.823
348,71.0,4211,430.402,1373.980
349,71.0,4043,389.665,1574.585
350,71.0,3446,343.540,1651.454
351,71.0,4955,358.911,1860.053
352,72.0,5123,383.437,458.595
353,72.0,4241,445.866,1363.177
354,72.0,4068,399.347,1589.493
355,72.0,3515,345.726,1645.527
356,72.0,4961,361.789,1861.505
357,73.0,5136,375.709,481.519
358,73.0,3975,449.815,1354.629
359,73.0,4087,406.012,1599.129
360,73.0,3641,343.467,1644.664
361,73.0,4943,365.916,1861.326
362,74.0,5048,367.126,512.139
363,74.0,3559,454.917,1341.999
364,74.0,4051,414.632,1610.937
365,74.0,3569,346.205,1640.095
366,74.0,5003,369.539,1860.919
367,75.0,5008,371.034,537.868
368,75.0,3368,459.874,1332.753
369,75.0,4040,419.917,1619.476
370,75.0,3588,347.808,1636.817
371,75.0,4987,371.885,1860.705
372,76.0,4750,388.893,573.831
373,76.0,3120,466.371,1320.762
374,76.0,4131,427.826,1631.541
375,76.0,3553,349.095,1630.546
376,76.0,4983,376.022,1861.524
377,77.0,4717,402.736,598.381
378,77.0,3103,471.683,1307.000
379,77.0,4224,435.477,1643.670
380,77.0,3518,350.435,1622.801
381,77.0,4970,379.813,1862.361
382,78.0,4876,415.703,625.813
383,78.0,2766,471.422,1241.303
384,78.0,3602,349.024,1614.006
385,78.0,4223,446.844,1657.364
